"","Animal ID","SampleNumber","SetName","SampleType","replicate","Species","Collection Date","SampleWt","Dry_wt Format","Lipid format","CB103 Recovery Format","HCB Conc Format","aHCH Conc Format","bHCH Conc Format","lindane Conc Format","achlor Conc Format","cnona Conc Format","bchlor Conc Format","hept Conc Format","HPE Conc Format","nona3 Conc Format","oxychlor Conc Format","tnona Conc Format","aldrin Conc Format","diel Conc Format","mirex Conc Format","eslf1 Conc Format","cb17 Conc Format","cb18 Conc Format","cb28 Conc Format","cb31 Conc Format","cb33 Conc Format","cb44 Conc Format","cb49 Conc Format","cb52 Conc Format","cb66 Conc Format","cb70 Conc Format","cb74 Conc Format","cb82 Conc Format","cb87 Conc Format","cb95 Conc Format","cb99 Conc Format","cb101 Conc Format","cb105 Conc Format","cb110 Conc Format","cb118 Conc Format","cb128 Conc Format","cb138 Conc Format","cb149 Conc Format","cb151 Conc Format","cb153 Conc Format","cb156 Conc Format","cb158 Conc Format","cb170 Conc Format","cb171 Conc Format","cb177 Conc Format","cb180 Conc Format","cb183 Conc Format","cb187 Conc Format","cb191 Conc Format","cb194 Conc Format","cb195 Conc Format","cb199 Conc Format","cb205 Conc Format","cb206 Conc Format","cb208 Conc Format","cb209 Conc Format","opDDD Conc Format","opdde Conc Format","opDDT Conc Format","ppDDD Conc Format","ppDDE Conc Format","ppDDT Conc Format","Sum CHLDs Conc Format","Sum DDTs Conc Format","Sum HCHs Conc Format","Sum40CBs Conc Format","Total PCBs Conc Format","BDE28 conc format","BDE47 conc format","BDE49 conc format","BDE66 conc format","BDE85 conc format","BDE99 conc format","BDE100 conc format","Br5DE04 conc format","Br5DE05 conc format","BDE153 conc format","BDE154 conc format","Br6DE01 conc format","BDE155 conc format","BDE183 conc format","Br7DE01 conc format","SumBDE conc format","SampleFlag","SampleNote","Task_number","LabStartDate","InstDateCH","NOAA_Set Name","NOAA_SampleNumber","NOAA_Sample Category","NOAA_Sample Type","NOAA_replicate","NOAA_Species Common name","NOAA_Date collected","NOAA_Sample Weight SI","NOAA_Weight % C MS","NOAA_Weight % N MS","NOAA_C_N_RatioMS","NOAA_delta 13C_LipExt","NOAA_delta 15N_LipExt","NOAA_Sample Flag","NOAA_Note","UW_IsoLab ID","UW_Analysis Date","UW_Project","UW_Analysis #","UW_Amount (mg)","UW_Comments","UW_PeakArea N (Vs)","UW_Percent N","UW_Percent N Accuracy","UW_Percent N Precision","UW_Delta N_NotExt","UW_d15N Accuracy","UW_d15N Precision","UW_PeakArea C (Vs)","UW_Percent C","UW_Percent C Accuracy","UW_Percent C Precision","UW_Delta C_NotExt","UW_d13C Accuracy","UW_d13C Precision"
"57","16MA6-TM9806A","119-3833","PS3491","Tissue - muscle",NA,"Blackmouth chinook",2016-02-20,2.022,22.8613812427888,2.37607060142262,90,"0.67","< 0.32","< 0.33","< 0.33","< 0.33","< 0.33","< 0.33","< 0.33","< 0.33","< 0.33","< 0.33","0.43","< 0.33","< 0.33","< 0.33","< 0.33","< 0.33","0.43","0.53","0.56000000000000005","0.34","0.34","0.34","0.57999999999999996","< 0.33","0.47","< 0.33","< 0.33","< 0.33","0.62","0.67","1.2","0.38","0.88","0.76","< 0.33","1.6","0.96","< 0.33","2","< 0.33","< 0.33","< 0.33","< 0.33","< 0.33","0.43","< 0.33","0.6","< 0.33","< 0.33","< 0.33","< 0.33","< 0.33","< 0.33","< 0.33","< 0.33","< 0.33","< 0.33","< 0.33","0.36","3.2","< 0.33","0.43","3.6","< LOQ","14","19","< 0.33","1.9","< 0.33","< 0.33","< 0.33","0.41","< 0.33","< 0.33","< 0.33","< 0.33","< 0.33","< 0.33","< 0.33","< 0.33","< 0.33","2.2999999999999998",NA,NA,"PS16BlkChnA",2017-04-20,2017-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,308,20170420,"2016 Blackmouth",86212,0.45,NA,145.929,12.3115,-0.1151,0.14484,15.2251,-0.038889,0.082884,109.112,51.0266,0.18197,0.61283,-17.436,-0.021098,0.035562
"58","16MA6-TM9808A","119-3834","PS3491","Tissue - muscle",NA,"Blackmouth chinook",2016-02-20,2.015,23.3477970627503,3.61108127469368,101,"0.79","< 0.16","0.2","< 0.16","0.28999999999999998","0.2","< 0.16","< 0.16","< 0.16","< 0.16","< 0.16","0.56000000000000005","< 0.16","0.32","< 0.16","< 0.16","0.16","0.42","0.57999999999999996","0.57999999999999996","0.34","0.34","0.33","0.57999999999999996","0.35","0.49","0.23","< 0.16","0.38","0.68","0.82","1.3","0.44","0.95","0.98","0.42","2.1","1.1000000000000001","0.32","2.6","< 0.16","< 0.16","0.31","< 0.16","0.3","0.79","0.39","1.1000000000000001","< 0.16","< 0.16","< 0.16","< 0.16","< 0.16","< 0.16","< 0.16","< 0.16","< 0.16","< 0.16","< 0.16","0.51","4","0.21","1","4.7","0.2","19","25","< 0.16","2.6","0.35","< 0.16","< 0.16","1.3","0.53","< 0.16","< 0.16","< 0.16","< 0.16","< 0.16","< 0.16","< 0.16","< 0.16","4.7",NA,NA,"PS16BlkChnA",2017-04-20,2017-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,309,20170420,"2016 Blackmouth",86213,0.607,NA,196.955,12.3043,-0.1151,0.14484,14.964,-0.038889,0.082884,147.722,51.1387,0.18197,0.61283,-17.5777,-0.021098,0.035562
"59","16MA6-TM9809A","119-3835","PS3491","Tissue - muscle",NA,"Blackmouth chinook",2016-02-20,2.016,26.3556550180754,5.671193876697,103,"1.3","0.21","0.33","< 0.19","0.36","0.3","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","0.82","< 0.19","0.43","< 0.19","< 0.19","< 0.19","0.47","0.66","0.63","0.37","0.41","0.39","0.76","0.47","0.6","0.32","< 0.19","0.4","0.85","1.1000000000000001","1.6","0.54","1.1000000000000001","1.2","0.45","2.5","1.3","0.36","3.3","< 0.19","< 0.19","0.47","< 0.19","0.31","1.1000000000000001","0.45","1.1000000000000001","< 0.19","0.25","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","0.69","5.0999999999999996","0.26","1.5","6.1","0.54","23","31","< 0.19","3","0.51","< 0.19","< 0.19","1.2","0.66","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","5.4",NA,NA,"PS16BlkChnA",2017-04-20,2017-05-01,"ST3507","130-24900A","Fish","Tissue - muscle",NA,"Chinook salmon",2016-02-20,0.290999999999999,46.9929525197619,14.1756474497175,3.31504805593187,-16.7761484546948,14.8844616089598,NA,NA,310,20170420,"2016 Blackmouth",86214,0.547,NA,167.2,11.598,-0.1151,0.14484,14.9906,-0.038889,0.082884,140.968,54.1644,0.18197,0.61283,-18.3518,-0.021098,0.035562
"61","16MA6-TM9831A","119-3836","PS3491","Tissue - muscle",NA,"Blackmouth chinook",2016-02-20,2.013,21.4321233217304,0.57449444881406,99,"0.34","< 0.18","< 0.18","< 0.18","< 0.18","< 0.18","< 0.18","< 0.18","< 0.18","< 0.18","< 0.18","0.23","< 0.18","< 0.18","< 0.18","< 0.18","< 0.18","0.3","0.36","0.36","0.23","< 0.18","< 0.18","0.27","0.19","0.25","< 0.18","< 0.18","< 0.18","0.26","0.33","0.57999999999999996","0.19","0.44","0.45","< 0.18","0.96","0.5","< 0.18","1.2","< 0.18","< 0.18","< 0.18","< 0.18","< 0.18","0.34","< 0.18","0.45","< 0.18","< 0.18","< 0.18","< 0.18","< 0.18","< 0.18","< 0.18","< 0.18","< 0.18","< 0.18","< 0.18","< 0.18","1.9","< 0.18","0.23","1.9","< LOQ","7.6","11","< 0.18","1.1000000000000001","< 0.18","< 0.18","< 0.18","0.28000000000000003","0.25","< 0.18","< 0.18","< 0.18","< 0.18","< 0.18","< 0.18","< 0.18","< 0.18","1.6",NA,NA,"PS16BlkChnA",2017-04-20,2017-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312,20170420,"2016 Blackmouth",86215,0.532,NA,197.316,14.0645,-0.1151,0.14484,15.5001,-0.038889,0.082884,122.345,48.3666,0.18197,0.61283,-16.3814,-0.021098,0.035562
"62","16MA6-TM9832A","119-3837","PS3491","Tissue - muscle",NA,"Blackmouth chinook",2016-02-20,2.023,23.0948032541922,3.05661725633412,105,"0.7","< 0.18","< 0.19","< 0.19","0.24","0.28999999999999998","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","0.76","< 0.19","0.19","< 0.19","< 0.19","< 0.19","0.38","0.55000000000000004","0.56000000000000005","0.32","0.31","0.27","0.55000000000000004","0.41","0.53","0.28000000000000003","< 0.19","0.39","0.68","1.1000000000000001","1.6","0.56000000000000005","1.2","1.3","0.56000000000000005","2.9","1.4","0.43","3.6","< 0.19","< 0.19","0.45","< 0.19","0.42","1.1000000000000001","0.51","1.5","< 0.19","0.21","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","0.63","6.3","0.21","1.3","7.1","< LOQ","24","32","< 0.19","3.2","0.56999999999999995","< 0.19","< 0.19","1.1000000000000001","0.76","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","5.6",NA,NA,"PS16BlkChnA",2017-04-20,2017-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,313,20170420,"2016 Blackmouth",86216,0.607,NA,196.731,12.2903,-0.1151,0.14484,15.9651,-0.038889,0.082884,148.683,51.47,0.18197,0.61283,-17.3988,-0.021098,0.035562
"65","16MA6-TM9835A","119-3838","PS3491","Tissue - muscle",NA,"Blackmouth chinook",2016-02-20,2.004,21.6542597187758,0.86287191822519,104,"0.4","< 0.17","< 0.17","< 0.17","0.18","< 0.17","< 0.17","< 0.17","< 0.17","< 0.17","< 0.17","0.38","< 0.17","< 0.17","< 0.17","< 0.17","< 0.17","0.34","0.44","0.45","0.28000000000000003","0.23","0.2","0.35","0.26","0.35","< 0.17","< 0.17","0.25","0.4","0.54","0.85","0.32","0.74","0.69","0.31","1.4","0.75","0.23","1.6","< 0.17","< 0.17","0.2","< 0.17","0.21","0.53","0.23","0.75","< 0.17","< 0.17","< 0.17","< 0.17","< 0.17","< 0.17","< 0.17","< 0.17","< 0.17","< 0.17","< 0.17","0.35","3.6","< 0.17","0.56000000000000005","4","< LOQ","13","17","< 0.17","1.6","0.34","< 0.17","< 0.17","0.62","0.39","< 0.17","< 0.17","< 0.17","< 0.17","< 0.17","< 0.17","< 0.17","< 0.17","3",NA,NA,"PS16BlkChnA",2017-04-20,2017-05-01,"ST3507","130-24901A","Fish","Tissue - muscle",NA,"Chinook salmon",2016-02-20,0.224,46.2005217892225,14.3038002290764,3.22994736009435,-16.3433398234975,15.9312517038579,NA,NA,316,20170426,"2016 Blackmouth",86279,0.632,NA,231.72,14.1345,-0.23631,0.15834,16.1508,-0.096809,0.068339,139.891,47.6353,-0.15142,0.76321,-16.31,0.011031,0.0231
"66","16MA6-TM9836A","119-3839","PS3491","Tissue - muscle",NA,"Blackmouth chinook",2016-02-20,2.02,22.7082985473367,2.62778842160265,105,"0.89","< 0.15","< 0.16","< 0.16","0.32","0.26","< 0.16","< 0.16","< 0.16","< 0.16","< 0.16","0.7","< 0.16","< 0.16","< 0.16","< 0.16","< 0.16","0.44","0.56999999999999995","0.54","0.32","0.34","0.32","0.62","0.37","0.5","0.26","< 0.16","0.36","0.75","0.94","1.4","0.45","1.1000000000000001","1","0.4","2.2000000000000002","1.3","0.41","2.8","< 0.16","< 0.16","0.33","< 0.16","0.31","0.78","0.35","1","< 0.16","0.18","< 0.16","< 0.16","< 0.16","< 0.16","< 0.16","< 0.16","< 0.16","< 0.16","< 0.16","0.65","5.2","0.23","1.3","6.1","< LOQ","20","26","< 0.16","2.7","0.56999999999999995","< 0.16","< 0.16","0.99","0.63","< 0.16","< 0.16","< 0.16","< 0.16","< 0.16","< 0.16","< 0.16","< 0.16","4.9000000000000004",NA,NA,"PS16BlkChnA",2017-04-20,2017-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,317,20170426,"2016 Blackmouth",86280,0.668,NA,199.03,11.4842,-0.23631,0.15834,15.5716,-0.096809,0.068339,166.17,53.4652,-0.15142,0.76321,-18.0863,0.011031,0.0231
"67","16MA6-TM9837A","119-3840","PS3491","Tissue - muscle",NA,"Blackmouth chinook",2016-02-20,2.025,26.1545786383113,5.25493760242947,102,"1.4","< 0.23","0.27","< 0.24","0.64","0.59","< 0.24","< 0.24","< 0.24","< 0.24","< 0.24","1.4","< 0.24","< 0.24","< 0.24","< 0.24","< 0.24","0.5","0.81","0.72","0.38","0.77","1","1.7","0.92","1.2","0.56999999999999995","< 0.24","1.1000000000000001","2.4","3.3","4.5999999999999996","1.4","3.1","3.2","1.4","8.4","4.4000000000000004","1.6","11","0.45","0.66","1.4","0.53","1.3","2.9","1.4","4","< 0.24","0.52","< 0.24","< 0.24","< 0.24","0.25","< 0.24","< 0.24","< 0.24","< 0.24","< 0.24","1.2","7.9","0.52","2.6","9.6","0.27","67","88","0.36","7.9","0.96","0.25","< 0.24","4.2","2","< 0.24","< 0.24","0.34","0.35","< 0.24","< 0.24","< 0.24","< 0.24","16",NA,NA,"PS16BlkChnA",2017-04-20,2017-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,318,20170426,"2016 Blackmouth",86281,0.568,NA,171.168,11.613,-0.23631,0.15834,15.6412,-0.096809,0.068339,138.989,52.6637,-0.15142,0.76321,-17.5619,0.011031,0.0231
"69","16MA6-TM9839A","119-3841","PS3491","Tissue - muscle",NA,"Blackmouth chinook",2016-02-20,2.018,23.9685039370078,3.88903834093248,104,"1.1000000000000001","< 0.18","0.19","< 0.19","0.28000000000000003","0.34","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","0.88","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","0.43","0.53","0.5","0.33","0.35","0.3","0.62","0.4","0.55000000000000004","0.27","< 0.19","0.4","0.8","1.1000000000000001","1.7","0.63","1.6","1.4","0.7","3.4","1.6","0.51","4.0999999999999996","0.24","0.23","0.7","0.23","0.59","1.6","0.64","1.9","< 0.19","0.24","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","0.8","7.1","0.28999999999999998","1.5","8.1999999999999993","0.19","29","38","< 0.19","4.9000000000000004","1","< 0.19","< 0.19","2.2000000000000002","1.1000000000000001","< 0.19","< 0.19","0.23","0.26","< 0.19","< 0.19","< 0.19","< 0.19","9.6999999999999993",NA,NA,"PS16BlkChnA",2017-04-20,2017-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320,20170426,"2016 Blackmouth",86283,0.5,NA,153.136,11.8005,-0.23631,0.15834,15.565,-0.096809,0.068339,120.33,51.8605,-0.15142,0.76321,-17.7549,0.011031,0.0231
"70","16MA7-TM4441A","119-3842","PS3491","Tissue - muscle",NA,"Blackmouth chinook",2016-12-02,2.012,35.1498189002304,14.8735793434071,105,"2.2000000000000002","0.53","0.71","< 0.19","0.45","0.36","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","1","< 0.19","< 0.19","< 0.19","< 0.19","0.21","0.6","0.78","0.73","0.44","0.41","0.33","0.73","0.45","0.6","0.3","< 0.19","0.42","0.82","1.1000000000000001","1.7","0.53","1.2","1.2","0.45","2.7","1.5","0.45","3.4","< 0.19","< 0.19","0.38","< 0.20","0.36","0.89","0.35","1.2","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","0.91","9","0.25","1.8","10","1.2","24","31","< 0.19","2.6","0.55000000000000004","< 0.19","< 0.19","0.83","0.71","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","4.7",NA,NA,"PS16BlkChnA",2017-04-20,2017-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,321,20170426,"2016 Blackmouth",86284,0.677,NA,153.434,8.7323,-0.23631,0.15834,15.8192,-0.096809,0.068339,189.59,60.1385,-0.15142,0.76321,-20.297,0.011031,0.0231
